Client Number,Name,State,Address,City,"Longitude , Latitude"
LA2425,BROTHERS BEAUTY SUPPLY (LA2425),LA,"2425 WILLIAMS BLVD, KENNER, LA 70062",KENNER,"30.0035277, -90.2401207"
LA400,BEAUTY MASTER BEAUTY SUPPLY (LA400),LA,"400 LAPALCO BLVD, GRETNA, LA 70056",GRETNA,"29.8810652, -90.02878869999999"
LA5939,BEAUTY MASTER BEAUTY SUPPLY (LA5939),LA,"5939 LAPALCO BLVD, MARRERO, LA 70072",MARRERO,"29.8739286, -90.1101297"
LA1166,MAX BEAUTY SUPPLY (LA1166),LA,"1166 TERRY PKWY, TERRYTOWN, LA 70056",TERRYTOWN,"29.8908616, -90.0315866"
LA809,EBONI BEAUTY & HAIR (LA809),LA,"809 BEHRMAN HWY SUITE 101, TERRYTOWN, LA 70056",TERRYTOWN,"29.8933489, -90.0187118"
LA801,BROTHERS BEAUTY SUPPLY (LA801),LA,"801 BEHRMAN HWY SUITE 101, TERRYTOWN, LA 70056",TERRYTOWN,"29.8941962, -90.0188924"
LA4023,BEAUTY MASTER BEAUTY SUPPLY (LA4023),LA,"4023 BEHRMAN HWY, NEW ORLEANS, LA 70114",NEW ORLEANS,"29.9101683, -90.019832"
LA3038,J-LO BEAUTY SUPPLY (LA3038),LA,"3038 HOLIDAY DR, NEW ORLEANS, LA 70131",NEW ORLEANS,"29.921942, -90.0119682"
LA4820,ALLURE BEAUTY SUPPLY (LA4820),LA,"4820 GENERAL MEYER AVE, NEW ORLEANS, LA 70131",NEW ORLEANS,"29.9330808, -90.0037522"
LA3624,AVEDA HAIR & BEAUTY (LA3624),LA,"3624 GENERAL DE GAULLE DR, NEW ORLEANS, LA 70114",NEW ORLEANS,"29.924088, -90.018208"
LA64,HAIR KINGDOM BEAUTY SUPERCENTER (LA64),LA,"64 WESTBANK EXPY, GRENTA, LA 70053",GRENTA,"29.9127908, -90.04838160000001"
LA61,SISTER'S BEAUTY SUPPLY (LA61),LA,"61 HOLMES BLVD SUITE A, TERRYTOWN, LA 70056",TERRYTOWN,"29.92058759999999, -90.0335494"
LA1452,BEAUTY & BEYOND (LA1452),LA,"1452 N BROAD ST, NEW ORLEANS, LA 70119",NEW ORLEANS,"29.9768313, -90.07708570000001"
LA2001,ST. BERNARD BEAUTY SUPPLY (LA2001),LA,"2001 ST BERNARD AVE, NEW ORLEANS, LA 70116",NEW ORLEANS,"29.9771105, -90.06780239999999"
LA2020,ELEGANCE BEAUTY SUPPLY (LA2020),LA,"2020 N CLAIBORNE AVE, NEW ORLEANS, LA 70116",NEW ORLEANS,"29.9729253, -90.0590654"
LA1603,MAC BEAUTY SUPPLY (LA1603),LA,"1603 FRANKLIN AVE, NEW ORLEANS, LA 70117",NEW ORLEANS,"29.9742705, -90.0481513"
LA3125,HOUSE OF BEAUTY (LA3125),LA,"3125 SAINT CLAUDE AVE #3, NEW ORLEANS, LA 70117",NEW ORLEANS,"29.9678389, -90.0434248"
LA3423,ONE MINUTE SUPPLY (LA3423),LA,"3423 LOUISA ST, NEW ORLEANS, LA 70126",NEW ORLEANS,"29.9925971, -90.0345072"
LA4301,MAC BEAUTY & HAIR STYLIST (LA4301),LA,"4301 LOUISA ST, NEW ORLEANS, LA 70126",NEW ORLEANS,"30.0060831, -90.03611579999999"
LA6600,BEAUTY & BEYOND (LA6600),LA,"6600 FRANKLIN AVE, NEW ORLEANS, LA 70122",NEW ORLEANS,"30.0284214, -90.0544264"
LA3124,GENA BEAUTY SUPPLY (LA3124),LA,"3124 LOYOLA DR, KENNER, LA 70065",KENNER,"30.01120179999999, -90.2659104"
LA331,SEREEN BEAUTY SUPPLY (LA331),LA,"331 VETERANS MEMORIAL BLVD, NEW ORLEANS, LA 70062",NEW ORLEANS,"30.0048106, -90.2667357"
LA8998,LOVE'S BEAUTY SUPPLY (LA8998),LA,"8998 WESTBANK EXPY, WESTWEGO, LA 70094",WESTWEGO,"29.9069891, -90.1595153"
LA1036,BEAUTY MART (LA1036),LA,"1036 WESTBANK EXPY, WESTEGO, LA 70094",WESTEGO,"29.8968868, -90.1428203"
LA5236,SEREEN BEAUTY SUPPLY (LA5236),LA,"5236 LAPLACO BLVD, MARRERO, LA 70072",MARRERO,"29.8757945, -90.1056703"
LA4800,EYONCE BEAUTY SUPPLY (LA4800),LA,"4800 CHEF MENETEUR HWY, NEW ORLEANS, LA 70126",NEW ORLEANS,"30.0055722, -90.03287189999999"
LA7500,ALL PLUS DEPOT (LA7500),LA,"7500 BULLARD AVE, NEW ORLEANS, LA 70128",NEW ORLEANS,"30.0510821, -89.9669823"
LA3129,CORNER BEAUTY SUPPLY (LA3129),LA,"3129 GENTILLY BLVD, NEW ORLEANS, LA 70122",NEW ORLEANS,"29.9991844, -90.0600496"
LA5703,TOWER BEAUTY SUPPLY (LA5703),LA,"5703 READ BLVD, NEW ORLEANS, LA 70127",NEW ORLEANS,"30.03404, -89.97359229999999"
LA3926,BEAUTY EXPRESS 2 (LA3926),LA,"3926 BARRON ST #C100, METAIRIE, LA70002",METAIRIE,"30.0021441, -90.1731865"
LA2309,DIAMOND BEAUTY LLC (LA2309),LA,"2309 MANHATTAN BLVD SUITE 2, HARVEY, LA70058",HARVEY,"29.8801095, -90.0506315"
LA3251,GENTLEMEN'S BARBERSHOP (LA3251),LA,"3251 MANHATTEN BLVD STE B2C, HARVEY, LA70058",HARVEY,"29.8616335, -90.0459351"
LA2785,ROYAL PALACE WIG BOUTIQUE&SALON SUITES (LA2785),LA,"2785 BELLECHASE HWY, GRENTA, LA70056",GRENTA,"29.8824112, -90.0216258"
LA2029,YARA BEAUTY SUPPLY (LA2029),LA,"2029 WILLIAMS BLVD, KENNER, LA70962",KENNER,"29.99356809999999, -90.2423142"
LA3648,HAIR TALK (LA3648),LA,"3648 GENERAL DEGAULLE DR, NEW ORLEANS, LA70114",NEW ORLEANS,"29.9238064, -90.0177894"
LA5953,HAIR GALLERIA (LA5953),LA,"5953 PLANK RD, BATON ROUGE, LA 70805",BATON ROUGE,"30.5036166, -91.153483"
LA9620,HAIR GALLERIA BEAUTY SUPPLY (LA9620),LA,"9620 FLORIDA BLVD, BATON ROUGE, LA 70815",BATON ROUGE,"30.4537964, -91.08017149999999"
LA12929,PRINCESS BEAUTY SUPPLY (LA12929),LA,"12929 COURSEY BLVD, BATON ROUGE, LA 70816",BATON ROUGE,"30.4104276, -91.03508889999999"
LA7028,PRINCESS BEAUTY SUPPLY (LA7028),LA,"7028 MICKENS RD, BATON ROUGE, LA 70811",BATON ROUGE,"30.5178818, -91.120538"
LA702,PRINCESS BEAUTY SUPPLY (LA702),LA,"702 N LOBDELL HWY, PORT ALLEN, LA 70767",PORT ALLEN,"30.4564723, -91.2479553"
LA7344,JASMINES BEAUTY SUPPLY (LA7344),LA,"7344 AIRLINE HWY, BATON ROUGE, LA 70805",BATON ROUGE,"30.4802845, -91.11608629999999"
LA2202,JASMINES BEAUTY SUPPLY (LA2202),LA,"2202 N SHERWOOD FOREST DR, BATON ROUGE, LA 70815",BATON ROUGE,"30.4683663, -91.0577727"
LA9945,LUNA'S BEAUTY SUPPLY (LA9945),LA,"9945 AIRLINE HWY SUITE F, BATON ROUGE, LA 70816",BATON ROUGE,"30.4288536, -91.07778850000001"
LA1555,JASMINES BEAUTY SUPPLY (LA1555),LA,"1555 GARDERE LN, BATON ROUGE, LA 70820",BATON ROUGE,"30.3558629, -91.1263181"
LA9290,JASMINES BEAUTY SUPPLY (LA9290),LA,"9290 GREENWELL SPRINGS RD, BATON ROUGE, LA 70814",BATON ROUGE,"30.4842494, -91.0866987"
LA5630,JASMINES BEAUTY SUPPLY (LA5630),LA,"5630 PLANK RD, BATON ROUGE, LA 70805",BATON ROUGE,"30.50106539999999, -91.15193359999999"
LA209,JASMINES BEAUTY SUPPLY (LA209),LA,"209 HOSPITAL RD, NEW ROADS, LA 70760",NEW ROADS,"30.682167, -91.4640177"
LA14400,HAIR ZONE (LA14400),LA,"14400 PLANK RD, BAKER, LA 70714",BAKER,"30.5775002, -91.1270502"
LA250,HAIR ZONE (LA250),LA,"250 MAIN ST, BAKER, LA 70714",BAKER,"30.5759244, -91.16790519999999"
LA7979,HAIR QUEEN BEAUTY SUPERCENTER (LA7979),LA,"7979 FLORIDA BLVD, BATON ROUGE, LA 70806",BATON ROUGE,"30.4532408, -91.1060778"
LA2272,HAIR QUEEN BEAUTY (LA2272),LA,"2272 N FOSTER DR ST B, BATON ROUGE, LA 70806",BATON ROUGE,"30.4692024, -91.139534"
LA6180,DIVA HAIR & BEAUTY SUPPLY (LA6180),LA,"6180 AIRLINE HWY, BATON ROUGE, LA 70805",BATON ROUGE,"30.4984816, -91.12938059999999"
LA11232,CINDY'S BEAUTY SUPPLIES (LA11232),LA,"11232 N HARRELLS FERRY RD, BATON ROUGE, LA 70816",BATON ROUGE,"30.4323777, -91.058665"
LA13787,JANNA'S BEAUTY SUPPLIES (LA13787),LA,"13787 OLD HAMMOND HWY, BATON ROUGE, LA 70816",BATON ROUGE,"30.44795199999999, -91.0317237"
LA4373,JASMINES BEAUTY SUPPLY (LA4373),LA,"4373 FLORIDA BLVD, BATON ROGUE, LA 4373",BATON ROGUE,"30.4510056, -91.1447867"
LA2120,JEANINE BEAUTY SUPPLY INC (LA2120),LA,"2120 ONEAL LN, BATON ROGUE, LA70816",BATON ROGUE,"30.4378014, -91.00858029999999"
LA2152,HAIR QUEEN BEAUTY (LA2152),LA,"2152 S SHERWOOD FORST BLVD, BATON ROGUE, LA70816",BATON ROGUE,"30.4332012, -91.0586883"
LA1010,NY STYLE (LA1010),LA,"1010 HONDURAS ST, HOUMA, LA 70360",HOUMA,"29.5897088, -90.7181332"
LA6880,NY STYLE #2 BEAUTY SUPPLY (LA6880),LA,"6880 W PARK AVE, HOUMA, LA 70364",HOUMA,"29.609528, -90.7441601"
LA1611,H&S BEAUTY SUPPLY (LA1611),LA,"1611 CANAL BLVD, THIBODAUX, LA 70301",THIBODAUX,"29.7812203, -90.8193754"
LA614,AMERICAN BEAUTY SUPPLY (LA614),LA,"614 ST MARY ST, THIBODAUX, LA 70301",THIBODAUX,"29.7969004, -90.8303052"
LA924,H&S BEAUTY SUPPLY (LA924),LA,"924 JACKSON ST. ,THIBODAUX, LA70301",HIBODAUX,"29.79120279999999, -90.82310559999999"
LA1507,BEAUTY MART (LA1507),LA,"1507 W AIRLINE HWY, LAPLACE, LA 70068",LAPLACE,"30.07200439999999, -90.4954934"
LA1036,LAPLACE BEAUTY MARKET (LA1036),LA,"1036 W AIRLINE HWY #111, LAPLACE, LA 70068",LAPLACE,"30.0711775, -90.4870694"
LA1466,OPRAH BEAUTY SUPPLY (LA1466),LA,"1466 W AIRLINE HWY, LAPLACE, LA 70068",LAPLACE,"30.0738831, -90.495192"
LA1717,OPRAH BEAUTY SUPPLY (LA1717),LA,"1717 W AIRLINE HWY, LAPLACE, LA 70068",LAPLACE,"30.07176669999999, -90.4985059"
LA103,BEAUTY & BEYOND (LA103),LA,"103 LOUISIANA AVE, LAFAYETTE, LA 70501",LAFAYETTE,"30.2249525, -92.0101037"
LA1215,IMAN'S BEAUTY SUPPLY (LA1215),LA,"1215 NW EVANGELINE THRUWAY, LAFAYETTE, LA 70501",LAFAYETTE,"30.2379099, -92.01448169999999"
LA2001,IMAN BEAUTY SUPPLY 2 (LA2001),LA,"2001 MOSS ST, LAFAYETTE, LA 70501",LAFAYETTE,"30.25121409999999, -92.0059679"
LA3611,INFINITE BEAUTY LAFAYETTE (LA3611),LA,"3611 AMBASSADOR CAFFERY PKWY, LAFAYETTE, LA 70503",LAFAYETTE,"30.1760563, -92.0695033"
LA211,LUXE BEAUTY SUPPLY (LA211),LA,"211 W WILLOW ST, LAFAYETTE, LA 70501",LAFAYETTE,"30.2436282, -92.015902"
LA2019,HAIR STAR BEAUTY SUPPLY (LA2019),LA,"2109 W UNIVERSITY AVE #2019, LAFAYETTE, LA 70506",LAFAYETTE,"30.23169699999999, -92.0330352"
LA2716,HAIR PALACE BEAUTY SUPPLY (LA2716),LA,"2718 RODEO RD STE B, ABBEVILLE, LA70510",ABBEVILLE,"29.9758744, -92.10495"
LA4523,DIAMOND BEAUTY SUPPLY (LA4523),LA,"4523 LEE ST #3234, ALEXANDRIA, LA 71302",ALEXANDRIA,"31.2664025, -92.4448038"
LA406,DIAMOND/EBONY BEAUTY SUPPLY (LA406),LA,"406 BOLTON AVE, ALEXANDRIA, LA 71301",ALEXANDRIA,"31.3061763, -92.4577103"
LA311,DIAMOND BEAUTY SUPPLY #3 (LA311),LA,"311 MACARTHUR DR, ALEXANDRIA, LA71301",ALEXANDRIA,"31.2987862, -92.4774549"
LA2216,BUY AND SAVE BEAUTY SUPPLY (LA2216),LA,"2216 MEMORIAL DR B, ALEXANDRIA, LA 71301",ALEXANDRIA,"31.2807025, -92.46080780000001"
LA234,BUY AND SAVE BEAUTY SUPPLY (LA234),LA,"234 BOLTON AVE, ALEXANDRIA, LA 71301",ALEXANDRIA,"31.3067546, -92.4581729"
LA627,JENY'S HAIR AND BEAUTY (LA627),LA,"627 ACTON RD, MARKSVILLE, LA 71351",MARKSVILLE,"31.1170186, -92.0653325"
LA725,OAKDALE BEAUTY SUPPLY (LA725),LA,"725 US-165, OAKDALE, LA 71463",OAKDALE,"30.8002292, -92.6735539"
LA2015,HAIR SAGA (LA2015),LA,"2015 RYAN ST, LAKE CHARLES, LA 70601",LAKE CHARLES,"30.2118118, -93.21804829999999"
LA931,HAIR SAGA (LA931),LA,"931 THIRD AVENUE, LAKE CHARLES, LA 70601",LAKE CHARLES,"30.2242886, -93.1954629"
LA1833,BUY & SAVE HAIR & BEAUTY SUPPLY (LA1833),LA,"1833 GERSTNER MEMORIAL DR, LAKE CHARLES, LA 70601",LAKE CHARLES,"30.2151248, -93.179305"
LA1005,BUY & SAVE BROAD ST. (LA1005),LA,"1005 BROAD ST, LAKE CHARLES, LA 70601",LAKE CHARLES,"30.22801, -93.2067732"
LA1726,JABERS BEAUTY (LA1726),LA,"1726 N AIRLINE HWY, GONZALES, LA 70737",GONZALES,"30.2480914, -90.9217297"
LA719,BEAUTY EXPO (LA719),LA,"719 LESSARD ST, DONALDSONVILLE, LA 70346",DONALDSONVILLE,"30.0992478, -90.9898927"
LA3000,BEAUTY TOWN (LA3000),LA,"3000D THIBAUT DR #C, DONALDSONVILLE, LA 70346",DONALDSONVILLE,"30.096155, -90.98325129999999"
LA806,FOR HER BEAUTY SUPPLY (LA806),LA,"806 SW RAILROAD AVE, HAMMOND, LA 70403",HAMMOND,"30.4967442, -90.4597088"
LA1102,INFINITE BEAUTY (LA1102),LA,"1102 E ADMIRAL DOYLE DR, NEW IBERIA, LA 70560",NEW IBERIA,"29.9838552, -91.82107339999999"
LA1620,IBERIA HAIR AND BEAUTY SUPPLY (LA1620),LA,"1620 S HOPKINS ST, NEW IBERIA, LA 70560",NEW IBERIA,"30.0019452, -91.8416062"
LA1880,ALL STAR BEAUTY SUPPLY (LA1880),LA,"1880 REES ST SUITE 103-A, BREAUX BRIDGE, LA 70517",BREAUX BRIDGE,"30.2905951, -91.910943"
LA1510,IBERIA HAIR & BEAUTY SUPPLY (LA1510),LA,"1510 CENER ST. ,NEW IBERIA, LA70560",EW IBERIA,"30.0019452, -91.8416062"
LA845,BEAUTY & BEYOND BEAUTY SUPPLY (LA845),LA,"845 HIGHWAY 90 EAST, MORGAN CITY, LA 70380",MORGAN CITY,"29.6819705, -91.2724243"
LA827,OP BEAUTY SUPPLY (LA827),LA,"827 CRESWELL LN, OPELOUSAS, LA 70570",OPELOUSAS,"30.5205998, -92.0758991"
LA1223,INFINITE BEAUTY OPELOUSAS (LA1223),LA,"1223 HEATHER DR, OPELOUSAS, LA 70570",OPELOUSAS,"30.5095701, -92.07378880000002"
LA923,ROYAL BEAUTY SUPPLY (LA923),LA,"923 E LASALLE ST, VILLE PLATTE, LA 70586",VILLE PLATTE,"30.686159, -92.26016880000002"
LA758,DOLLAR MANIA (LA758),LA,"758 SHREVEPORT BARKSDALE HWY, SHREVEPORT, LA 71105",SHREVEPORT,"32.4807552, -93.7156603"
(LA925),MEGA DEALS HAIR AND MORE (LA925),LA,"925 BEHRMAN HWY STE 14, GRETNA, LA 70056",GRETNA,"29.8907033, -90.01809449999999"
AL2208,BEAUTY & BEYOND BEAUTY SUPPLY (AL2208),AL,"2208 HALLS MILL RD, MOBILE, AL 36606",MOBILE,"30.6620426, -88.0960235"
AL512,BEAUTY & BEYOND BEAUTY SUPPLY (AL512),AL,"512 S WILSON AVE, MOBILE, AL 36617",MOBILE,"30.7202349, -88.08349799999999"
AL7156,BEAUTY & BEYOND BEAUTY SUPPLY (AL7156),AL,"7156 AIRPORT BLVD, MOBILE, AL 36608",MOBILE,"30.6875119, -88.21051849999999"
AL4805,BEAUTY & BEYOND BEAUTY SUPPLY (AL4805),AL,"4805 MOFFETT RD, MOBILE, AL 36618",MOBILE,"30.7191819, -88.15387199999999"
AL4561,BEAUTY & BEOND (AL4561),AL,"4561 ST STEPHENS RD, EIGHT MILE, AL 36613",EIGHT MILE,"30.764044, -88.1293772"
AL4055,GORGEOUS SUPPLY (AL4055),AL,"4055 COTTAGE HILL RD #107C, MOBILE, AL36609",MOBILE,"30.6512103, -88.1470902"
AL1956,BEAUTY ISLAND BEAUTY SUPPLY (AL1956),AL,"1956 S UNIVERSITY BLVD, MOBILE, AL 36609",MOBILE,"30.6491143, -88.161766"
AL350,KSR HAIR & BEAUTY SUPPLY (AL350),AL,"350 N BROAD ST, MOBILE, AL36603",MOBILE,"30.6945114, -88.0553283"
AL28600,GIRLZ WITH CURLS BEAUTY BAR (AL28600),AL,"28600 US-98 SUIT H, DAPHNE, AL36526",DAPHNE,"30.6418183, -87.9116039"
AL2312,BEAUTY LAND (AL2312),AL,"2312 SAINT STEPHENS RD, MOBILE, AL36617",MOBILE,"30.7189897, -88.0823855"
AL7335,ONE STOP BEAUTY SUPPLY (AL7335),AL,"7335 AIRPORT BLVD SUITE E, MOBILE, AL36608",MOBILE,"30.6866031, -88.21473329999999"
AL1312,EAST BROAD BEAUTY SUPPLY (AL1312),AL,"1312 E BROAD ST. ,GADSDEN, AL35903",ADSDEN,"33.9970803, -85.98069079999999"
AL714,U&I BEAUTY SUPPLY (AL714),AL,"714 BATTLE ST E, TALLADEGA, AL35160",TALLADEGA,"33.437505, -86.08874949999999"
AL4107,BEAUTY & BEYOND BEAUTY SUPPLY (AL4107),AL,"4107 NORMAN BRIDGE RD, MONTGOMERY, AL 36105",MONTGOMERY,"32.324932, -86.29823800000001"
AL1762,BEAUTY & BEYOND BEAUTY SUPPLY (AL1762),AL,"2762 EASTERN BLVD, MONTGOMERY, AL 36117",MONTGOMERY,"32.3453728, -86.2258864"
AL2422,BEAUTY & BEYOND BEAUTY SUPPLY (AL2422),AL,"2422 E SOUTH BLVD, MONTGOMERY, AL 36116",MONTGOMERY,"32.3254534, -86.2588713"
AL5,BEAUTY & BEYOND BEAUTY SUPPLY (AL5),AL,"5 W FAIRVIEW AVE, MONTGOMERY, AL 36105",MONTGOMERY,"32.3503047, -86.30863409999999"
AL2775,BEAUTY & BEYOND BEAUTY SUPPLY (AL2775),AL,"2775 EASTERN BLVD, MONTGOMERY, AL 36117",MONTGOMERY,"32.3439304, -86.2217501"
AL606,BEAUTY & BEYOND BEAUTY SUPPLY (AL606),AL,"606 S MEMORIAL DR, PRATTVILLE, AL36067",PRATTVILLE,"32.4611797, -86.4513939"
AL3711E,THE HAIR DEPOT AL3711E (AL3711E),AL,"3711 EASTERN BLVD, MONTGOMERY, AL36116",MONTGOMERY,"32.3282607, -86.2314755"
AL3563,BEAUTY & BEYOND BEAUTY SUPPLY (AL3563),AL,"3563 AL-14, MILLBROOK, AL36054",MILLBROOK,"32.5161757, -86.3793441"
AL675,ALEX BEAUTY SUPPLY OXFORD AL (AL675),AL,"675 CREEKSIDE DR, OXFORD, AL 36203",OXFORD,"33.6158992, -85.8255743"
AL9092,BEAUTY TRENDZ ROEBUCK-BEAUTY SUPPLY (AL9092),AL,"9092 PARKWAY E, BIRMINGHAM, AL35206",BIRMINGHAM,"33.58556069999999, -86.70542050000002"
AL201,BEAUTY TRENDZ HOMEWOOD-BEAUTY SUPPLY (AL201),AL,"201 GREEN SPRINGS HWY,BIRMINGHAM, AL35209",IRMINGHAM,"33.4670401, -86.82219979999999"
AL1624,BEAUTY TRENDZ CRESTWOOD-BEAUTY SUPPLY (AL1624),AL,"1624 MONTCLAIR RD, BIRMINGHAM, AL35210",BIRMINGHAM,"33.5275751, -86.7227164"
AL5956,BEAUTY TRENDZ TRUSSVILLE-BEAUTY SUPPLY (AL5956),AL,"5956 CHALKVILLE MOUNTAIN RD, BIRMINGHAM, AL 35235",BIRMINGHAM,"33.6423801, -86.6230957"
AL7713,BEAUTY MASTERS INC (AL7713),AL,"7713 2ND AVE S, BIRMINGHAM, AL35206",BIRMINGHAM,"33.5596079, -86.72461469999999"
